Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,31.799999,32.560001,31.66,32.32,1775100,26.172646
2008-12-30,31.309999,31.92,31.24,31.90,2493400,25.832531
2008-12-29,31.08,31.35,30.76,30.959999,2139700,25.071321
2008-12-26,31.08,31.08,30.68,30.91,1483200,25.030832
2008-12-24,30.77,30.91,30.309999,30.809999,1188100,24.949852
2008-12-23,31.73,31.82,31.049999,31.219999,2754200,24.646178
2008-12-22,32.00,32.009998,31.059999,31.50,3439500,24.86722
2008-12-19,32.049999,32.400002,31.59,31.67,3739500,25.001424
2008-12-18,33.07,33.080002,31.780001,32.18,1657700,25.404037
2008-12-17,32.919998,33.57,32.669998,33.139999,2229400,26.161894
2008-12-16,33.41,33.48,31.450001,33.41,2538400,26.375042
2008-12-15,31.67,31.809999,31.07,31.540001,2238300,24.898798
2008-12-12,30.75,31.67,30.58,31.50,2268100,24.86722
2008-12-11,31.379999,32.119999,30.91,31.26,1927400,24.677756
2008-12-10,31.02,31.60,30.93,31.40,2259200,24.788276
2008-12-09,30.450001,31.200001,30.209999,30.49,2845800,24.06989
2008-12-08,30.25,31.10,30.110001,30.799999,3195900,24.314615
2008-12-05,28.42,29.379999,27.68,29.299999,2081900,23.130461
2008-12-04,29.030001,29.52,28.25,28.67,2792700,22.633118
2008-12-03,28.58,29.85,28.41,29.75,1682300,23.485708
2008-12-02,29.07,29.559999,28.610001,29.34,1727400,23.16204
2008-12-01,29.67,29.83,28.01,28.16,1187200,22.230505
2008-11-28,30.35,30.77,30.07,30.559999,542300,24.12515
2008-11-26,29.43,30.780001,29.209999,30.620001,1717200,24.172518
2008-11-25,30.40,30.52,29.190001,30.09,1551500,23.754116
2008-11-24,28.68,30.389999,28.389999,29.91,1401000,23.612018
2008-11-21,27.40,27.889999,26.18,27.799999,1464500,21.946308
2008-11-20,27.59,27.83,25.639999,25.639999,1113800,20.241127
2008-11-19,29.07,29.469999,27.620001,27.68,1264500,21.851577
2008-11-18,29.379999,29.969999,28.68,29.51,1049300,23.296244
2008-11-17,29.950001,31.00,29.299999,29.620001,1571300,23.383082
2008-11-14,30.700001,31.450001,29.959999,30.24,1283100,23.872531
2008-11-13,29.85,32.25,28.66,32.25,804500,25.459297
2008-11-12,30.67,30.709999,29.379999,29.43,1230400,23.233089
2008-11-11,31.67,31.860001,30.67,31.23,1038000,24.654072
2008-11-10,33.490002,33.59,32.02,32.630001,827200,25.759283
2008-11-07,32.00,32.919998,31.76,32.91,1297400,25.980324
2008-11-06,32.889999,33.07,30.780001,30.92,1110500,24.409348
2008-11-05,34.740002,35.169998,33.189999,33.360001,1050800,26.335571
2008-11-04,33.970001,35.290001,33.970001,35.18,863900,27.772343
2008-11-03,32.68,33.25,32.509998,32.84,2205300,25.925064
2008-10-31,32.02,33.279999,31.66,32.779999,1812200,25.877697
2008-10-30,33.290001,33.290001,31.75,32.650002,949900,25.775072
2008-10-29,30.440001,32.490002,30.32,31.459999,920000,24.835642
2008-10-28,28.879999,30.76,27.82,30.58,926100,24.14094
2008-10-27,27.74,28.65,27.209999,27.209999,1140700,21.480541
2008-10-24,28.09,29.540001,27.83,28.90,1839600,22.814688
2008-10-23,30.139999,31.24,29.34,30.68,1696800,24.219883
2008-10-22,31.58,31.65,29.66,30.34,1606100,23.951475
2008-10-21,33.77,34.080002,32.799999,33.00,1280000,26.051374
2008-10-20,33.849998,34.939999,33.360001,34.560001,904900,27.282894
2008-10-17,32.110001,34.34,31.940001,32.919998,834500,25.988217
2008-10-16,32.849998,33.68,30.83,33.48,880000,26.430302
2008-10-15,35.060001,35.099998,32.00,32.00,753800,25.261938
2008-10-14,40.23,40.23,35.150002,36.169998,1688400,28.553883
2008-10-13,35.48,36.93,33.91,36.93,1794200,29.153856
2008-10-10,29.51,43.00,29.50,32.509998,1368200,25.664549
2008-10-09,35.93,35.970001,32.389999,32.900002,3031200,25.972431
2008-10-08,34.25,36.00,34.00,35.02,2361400,27.646034
2008-10-07,37.830002,38.110001,35.52,35.869999,2256100,28.317053
2008-10-06,37.830002,38.709999,35.360001,36.919998,1236600,29.14596
2008-10-03,40.50,41.959999,39.50,39.700001,857900,31.340593
2008-10-02,41.889999,41.889999,39.880001,40.150002,671500,31.695839
2008-10-01,42.619999,42.619999,41.119999,42.57,489500,33.606272
2008-09-30,40.560001,42.439999,40.50,42.439999,981100,33.503644
2008-09-29,43.25,43.700001,39.50,40.50,739500,31.97214
2008-09-26,44.169998,45.130001,44.169998,45.130001,366700,35.627228
2008-09-25,44.959999,45.959999,44.77,45.540001,978400,35.950896
2008-09-24,45.50,45.50,44.220001,44.779999,340100,35.350924
2008-09-23,45.50,45.529999,44.16,44.919998,627700,35.461444
2008-09-22,47.130001,47.130001,45.32,46.84,676500,36.977162
2008-09-19,47.130001,47.130001,45.25,47.130001,910300,37.206099
2008-09-18,43.209999,45.32,41.299999,43.580002,552000,34.403603
2008-09-17,42.259998,42.779999,41.009998,41.59,715100,32.832625
2008-09-16,42.41,43.580002,41.950001,43.580002,823100,34.403603
2008-09-15,43.189999,44.23,43.189999,43.349998,728600,34.222031
2008-09-12,45.299999,45.860001,44.57,45.860001,421600,36.203516
